,appid,name,success,genres,tags,short_description,review_score,review_score_desc,total_positive,total_negative,total_reviews
14,1159140,Some Distant Memory - Soundtrack,True,"Adventure, Indie","Single-player, Downloadable Content, Full controller support, Steam Cloud",Some Distant Memory soundtrack.,0.0,No user reviews,0.0,0.0,0.0
15,1159150,BOC,True,"Indie, Simulation, Strategy","Single-player, Steam Workshop, Includes level editor, Includes Source SDK","BOC: Birth Of Civilization, is a historical turn-based 4X strategy game, which includes unique features like actual planets on a global scale or climate simulation. Our approach will take players all the way from the Ice Age (55.000 B.C) up until the fall of the Western Roman Empire.",0.0,No user reviews,0.0,0.0,0.0
16,1159160,VRekken,True,"Action, Indie",Single-player,"VRekken is a physics driven beat 'em up and self-defense trainer built for VR. You can use your punches, melee weapons (and kicks if you have 2 additional trackers) to beat up the bad guys. If you have been learning martial arts you can use your skills to your advantage.",0.0,No user reviews,0.0,0.0,0.0
17,1159200,Six Ages Original Soundtrack,True,"RPG, Simulation, Strategy","Single-player, Steam Achievements","The full soundtrack of Six Ages: Ride Like The Wind, set in the land of mystical land of Glorantha.",0.0,1 user reviews,1.0,0.0,1.0
18,1159240,Occultus Command,True,"Action, Adventure, Indie, Early Access","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Steam Achievements, Partial Controller Support","It is the year 3260, a cosmic storm named Father's Wrath threatens to end life on Earth's upper layer. The surest way to survive Father's Wrath is to escape underground to a world called Occultus. Information on the incoming storm and Occultus is encrypted, hidden and monitored.",0.0,No user reviews,0.0,0.0,0.0
19,1159260,PANDARA,True,"Action, Indie",Single-player,Simple 2D scrolling shooter. Japanese and English story.,0.0,No user reviews,0.0,0.0,0.0
20,1159270,Gamma Bros OST & Supporter Pack,True,"Action, Free to Play, Indie",,"The official OST and supporter pack for Gamma Bros. Includes previously unreleased music, concept art, GIFs and design sketches.",0.0,No user reviews,0.0,0.0,0.0
21,1159280,Realm Lands,True,"Adventure, Free to Play, RPG, Early Access","Single-player, Multi-player, PvP, Online PvP","Realm Land's is a 2D RPG survival game. The game will have many features, including a completely randomly generated 250x250 realm. The realm will have a chance to spawn randomly generated groups of either monster camps, chests, dungeons, bosses, and resources for you to explore and collect.",0.0,No user reviews,0.0,0.0,0.0
22,1159310,DOA6 Sexy Bunny Costume - Tina,True,Action,"Single-player, Multi-player, Online PvP, Shared/Split Screen PvP, Downloadable Content, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",A return of one of the favorites from the previous titles! A Sexy Bunny costume for Tina.,0.0,1 user reviews,1.0,0.0,1.0
23,1159311,DOA6 Sexy Bunny Costume - Kasumi,True,Action,"Single-player, Multi-player, Online PvP, Shared/Split Screen PvP, Downloadable Content, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",A return of one of the favorites from the previous titles! A Sexy Bunny costume for Kasumi.,0.0,No user reviews,0.0,0.0,0.0
24,1159312,DOA6 Sexy Bunny Costume - Helena,True,Action,"Single-player, Multi-player, Online PvP, Shared/Split Screen PvP, Downloadable Content, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",A return of one of the favorites from the previous titles! A Sexy Bunny costume for Helena.,0.0,No user reviews,0.0,0.0,0.0
25,1159313,DOA6 Sexy Bunny Costume - Kokoro,True,Action,"Single-player, Multi-player, Online PvP, Shared/Split Screen PvP, Downloadable Content, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",A return of one of the favorites from the previous titles! A Sexy Bunny costume for Kokoro.,0.0,No user reviews,0.0,0.0,0.0
26,1159314,DOA6 Sexy Bunny Costume - Leifang,True,Action,"Single-player, Multi-player, Online PvP, Shared/Split Screen PvP, Downloadable Content, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",A return of one of the favorites from the previous titles! A Sexy Bunny costume for Leifang.,0.0,No user reviews,0.0,0.0,0.0
27,1159315,DOA6 Sexy Bunny Costume - Ayane,True,Action,"Single-player, Multi-player, Online PvP, Shared/Split Screen PvP, Downloadable Content, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",A return of one of the favorites from the previous titles! A Sexy Bunny costume for Ayane.,0.0,No user reviews,0.0,0.0,0.0
28,1159316,DOA6 Sexy Bunny Costume - La Mariposa,True,Action,"Single-player, Multi-player, Online PvP, Shared/Split Screen PvP, Downloadable Content, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",A return of one of the favorites from the previous titles! A Sexy Bunny costume for La Mariposa.,0.0,1 user reviews,1.0,0.0,1.0
